checkpoint,function,sample,doc_id,latency_ms
100000,GetDocumentHistory,64,LG-42632,6.48
100000,GetDocumentHistory,65,LG-31044,7.91
100000,GetDocumentHistory,66,LG-61764,5.51
100000,GetDocumentHistory,67,LG-36339,8.13
100000,GetDocumentHistory,68,LG-59832,6.11
100000,GetDocumentHistory,69,LG-23504,4.62
100000,GetDocumentHistory,70,LG-91612,3.80
100000,GetDocumentHistory,71,LG-97550,5.26
100000,GetDocumentHistory,72,LG-77628,7.44
100000,GetDocumentHistory,73,LG-35742,6.79
100000,GetDocumentHistory,74,LG-58863,4.23
100000,GetDocumentHistory,75,LG-35887,5.32
100000,GetDocumentHistory,76,LG-94277,6.38
100000,GetDocumentHistory,77,LG-47441,5.10
100000,GetDocumentHistory,78,LG-47320,5.29
100000,GetDocumentHistory,79,LG-26636,5.20
100000,GetDocumentHistory,80,LG-953,5.81
100000,GetDocumentHistory,81,LG-65196,8.10
100000,GetDocumentHistory,82,LG-13109,6.91
100000,GetDocumentHistory,83,LG-40316,4.60
100000,GetDocumentHistory,84,LG-1170,7.97
100000,GetDocumentHistory,85,LG-62867,8.20
100000,GetDocumentHistory,86,LG-52200,8.72
100000,GetDocumentHistory,87,LG-35316,6.82
100000,GetDocumentHistory,88,LG-9,6.50
100000,GetDocumentHistory,89,LG-33278,5.66
100000,GetDocumentHistory,90,LG-19686,5.89
100000,GetDocumentHistory,91,LG-16607,8.31
100000,GetDocumentHistory,92,LG-54732,6.68
100000,GetDocumentHistory,93,LG-9235,7.72
100000,GetDocumentHistory,94,LG-29679,5.62
100000,GetDocumentHistory,95,LG-35844,5.61
100000,GetDocumentHistory,96,LG-57724,5.29
100000,GetDocumentHistory,97,LG-98870,4.46
100000,GetDocumentHistory,98,LG-27664,5.06
100000,GetDocumentHistory,99,LG-14189,8.45
