size_mb,concurrency,source,sample,ok,latency_ms,bytes,error
50,1,local,9,1,227.1,52428800,
50,1,local,10,1,229.7,52428800,
50,1,local,11,1,236.9,52428800,
50,1,local,12,1,296.1,52428800,
50,1,local,13,1,261.8,52428800,
50,1,local,14,1,245.5,52428800,
50,1,local,15,1,225.3,52428800,
50,1,local,16,1,254.7,52428800,
50,1,local,17,1,272.6,52428800,
50,1,local,18,1,336.6,52428800,
50,1,local,19,1,357.2,52428800,
50,1,local,20,1,271.7,52428800,
50,1,local,21,1,246.7,52428800,
50,1,local,22,1,260.2,52428800,
50,1,local,23,1,278.7,52428800,
50,8,local,0,1,1634.7,52428800,
50,8,local,1,1,1348.4,52428800,
50,8,local,2,1,1706.9,52428800,
50,8,local,3,1,1549.6,52428800,
50,8,local,4,1,1324.2,52428800,
50,8,local,5,1,1534.9,52428800,
50,8,local,6,1,1476.5,52428800,
50,8,local,7,1,1571.5,52428800,
50,8,local,8,1,1424.8,52428800,
50,8,local,9,1,1091.0,52428800,
50,8,local,10,1,1526.3,52428800,
50,8,local,11,1,1217.4,52428800,
50,8,local,12,1,1264.0,52428800,
50,8,local,13,1,1199.9,52428800,
50,8,local,14,1,1063.4,52428800,
50,8,local,15,1,1507.0,52428800,
50,8,local,16,1,1149.8,52428800,
50,8,local,17,1,1224.6,52428800,
50,8,local,18,1,1100.9,52428800,
50,8,local,19,1,1207.7,52428800,
50,8,local,20,1,1025.7,52428800,
50,8,local,21,1,1128.1,52428800,
50,8,local,22,1,965.9,52428800,
50,8,local,23,1,773.7,52428800,
50,24,local,0,1,3756.8,52428800,
50,24,local,1,1,3551.2,52428800,
50,24,local,2,1,3882.5,52428800,
50,24,local,3,1,3842.1,52428800,
50,24,local,4,1,3811.9,52428800,
50,24,local,5,1,3876.9,52428800,
50,24,local,6,1,3903.6,52428800,
50,24,local,7,1,3668.4,52428800,
50,24,local,8,1,3655.3,52428800,
50,24,local,9,1,3902.5,52428800,
50,24,local,10,1,3879.9,52428800,
50,24,local,11,1,3753.5,52428800,
50,24,local,12,1,3894.4,52428800,
50,24,local,13,1,3859.3,52428800,
50,24,local,14,1,3836.5,52428800,
50,24,local,15,1,3677.1,52428800,
50,24,local,16,1,3716.5,52428800,
50,24,local,17,1,3819.5,52428800,
50,24,local,18,1,3733.1,52428800,
50,24,local,19,1,3779.3,52428800,
50,24,local,20,1,3825.4,52428800,
